Device: mps
Dataset: 133160 samples, 20 classes, input shape per sample: (3, 32, 21)
Model: STGCNGestureNet-jumbo  |  trainable params: 51,773,842
/Users/rickeabati/Library/Python/3.12/lib/python/site-packages/torch/utils/data/dataloader.py:775: UserWarning: 'pin_memory' argument is set as true but not supported on MPS now, device pinned memory won't be used.
  super().__init__(loader)
  epoch 013 [1300/1665]  loss=0.6906
  epoch 013 [1400/1665]  loss=0.6905
  epoch 013 [1500/1665]  loss=0.6904
  epoch 013 [1600/1665]  loss=0.6899
epoch 013 | train_loss=0.6894 | val_loss=0.2869 | val_acc=0.9394 | val_f1=0.9395 | lr=9.49e-04
  epoch 014 [ 100/1665]  loss=0.6948
  epoch 014 [ 200/1665]  loss=0.6907
  epoch 014 [ 300/1665]  loss=0.6891
  epoch 014 [ 400/1665]  loss=0.6900
  epoch 014 [ 500/1665]  loss=0.6889
  epoch 014 [ 600/1665]  loss=0.6890
  epoch 014 [ 700/1665]  loss=0.6879
  epoch 014 [ 800/1665]  loss=0.6877
  epoch 014 [ 900/1665]  loss=0.6880
  epoch 014 [1000/1665]  loss=0.6879
  epoch 014 [1100/1665]  loss=0.6877
  epoch 014 [1200/1665]  loss=0.6879
  epoch 014 [1300/1665]  loss=0.6878
  epoch 014 [1400/1665]  loss=0.6880
  epoch 014 [1500/1665]  loss=0.6883
  epoch 014 [1600/1665]  loss=0.6882
epoch 014 | train_loss=0.6880 | val_loss=0.2790 | val_acc=0.9452 | val_f1=0.9371 | lr=9.36e-04
  epoch 015 [ 100/1665]  loss=0.6904
  epoch 015 [ 200/1665]  loss=0.6881
  epoch 015 [ 300/1665]  loss=0.6872
  epoch 015 [ 400/1665]  loss=0.6865
  epoch 015 [ 500/1665]  loss=0.6871
  epoch 015 [ 600/1665]  loss=0.6872
  epoch 015 [ 700/1665]  loss=0.6869
  epoch 015 [ 800/1665]  loss=0.6866
  epoch 015 [ 900/1665]  loss=0.6866
  epoch 015 [1000/1665]  loss=0.6867
